rank,candidate_id,competitor,ut_sensitivity,ut_atr_period,maximum_bars_held,hard_stop_percent,take_profit_percent,score
1,V3-000904,Original,0.5,16,5,1.5,10.0,32.9575
2,V3-000454,Original,0.5,10,5,1.5,10.0,32.8979
3,V3-000754,Original,0.5,14,5,1.5,10.0,32.3629
4,V3-000905,Original,0.5,16,5,1.5,12.0,32.2738
5,V3-000903,Original,0.5,16,5,1.5,8.0,31.985
6,V3-000604,Original,0.5,12,5,1.5,10.0,31.9807
7,V3-000455,Original,0.5,10,5,1.5,12.0,31.9602
8,V3-000154,Original,0.5,7,5,1.5,10.0,31.9357
9,V3-000005,Original,0.5,5,5,1.5,12.0,31.6575
10,V3-000004,Original,0.5,5,5,1.5,10.0,31.5937
11,V3-000155,Original,0.5,7,5,1.5,12.0,31.4652
12,V3-000305,Original,0.5,8,5,1.5,12.0,31.0937
13,V3-000755,Original,0.5,14,5,1.5,12.0,31.05
14,V3-000453,Original,0.5,10,5,1.5,8.0,31.0445
15,V3-000480,Original,0.5,10,10,1.5,12.0,30.9567
16,V3-000930,Original,0.5,16,10,1.5,12.0,30.9127
17,V3-000753,Original,0.5,14,5,1.5,8.0,30.9105
18,V3-000929,Original,0.5,16,10,1.5,10.0,30.802
19,V3-000304,Original,0.5,8,5,1.5,10.0,30.7644
20,V3-000954,Original,0.5,16,15,1.5,10.0,30.743
21,V3-000605,Original,0.5,12,5,1.5,12.0,30.5343
22,V3-000153,Original,0.5,7,5,1.5,8.0,30.462
23,V3-000479,Original,0.5,10,10,1.5,10.0,30.3497
24,V3-000603,Original,0.5,12,5,1.5,8.0,30.198
25,V3-000003,Original,0.5,5,5,1.5,8.0,30.1621
26,V3-000780,Original,0.5,14,10,1.5,12.0,30.0976
27,V3-000955,Original,0.5,16,15,1.5,12.0,30.0849
28,V3-000505,Original,0.5,10,15,1.5,12.0,29.9885
29,V3-000530,Original,0.5,10,20,1.5,12.0,29.9664
30,V3-000555,Original,0.5,10,30,1.5,12.0,29.9664
31,V3-000580,Original,0.5,10,40,1.5,12.0,29.9664
32,V3-000902,Original,0.5,16,5,1.5,6.0,29.9514
33,V3-000180,Original,0.5,7,10,1.5,12.0,29.9407
34,V3-000179,Original,0.5,7,10,1.5,10.0,29.9347
35,V3-000504,Original,0.5,10,15,1.5,10.0,29.9202
36,V3-000979,Original,0.5,16,20,1.5,10.0,29.9083
37,V3-000630,Original,0.5,12,10,1.5,12.0,29.8635
38,V3-000205,Original,0.5,7,15,1.5,12.0,29.8535
39,V3-000779,Original,0.5,14,10,1.5,10.0,29.8534
40,V3-000204,Original,0.5,7,15,1.5,10.0,29.7663
41,V3-000230,Original,0.5,7,20,1.5,12.0,29.7625
42,V3-000255,Original,0.5,7,30,1.5,12.0,29.7625
43,V3-000280,Original,0.5,7,40,1.5,12.0,29.7625
44,V3-000629,Original,0.5,12,10,1.5,10.0,29.724
45,V3-000529,Original,0.5,10,20,1.5,10.0,29.6979
46,V3-000554,Original,0.5,10,30,1.5,10.0,29.6979
47,V3-000579,Original,0.5,10,40,1.5,10.0,29.6979
48,V3-000804,Original,0.5,14,15,1.5,10.0,29.6924
49,V3-000980,Original,0.5,16,20,1.5,12.0,29.6469
50,V3-000229,Original,0.5,7,20,1.5,10.0,29.5539
51,V3-000254,Original,0.5,7,30,1.5,10.0,29.5539
52,V3-000279,Original,0.5,7,40,1.5,10.0,29.5539
53,V3-000953,Original,0.5,16,15,1.5,8.0,29.5227
54,V3-000978,Original,0.5,16,20,1.5,8.0,29.5171
55,V3-000928,Original,0.5,16,10,1.5,8.0,29.4784
56,V3-000829,Original,0.5,14,20,1.5,10.0,29.4708
57,V3-000854,Original,0.5,14,30,1.5,10.0,29.4708
58,V3-000879,Original,0.5,14,40,1.5,10.0,29.4708
59,V3-000478,Original,0.5,10,10,1.5,8.0,29.4084
60,V3-000654,Original,0.5,12,15,1.5,10.0,29.2926
61,V3-000503,Original,0.5,10,15,1.5,8.0,29.2381
62,V3-000528,Original,0.5,10,20,1.5,8.0,29.2325
63,V3-000553,Original,0.5,10,30,1.5,8.0,29.2325
64,V3-000578,Original,0.5,10,40,1.5,8.0,29.2325
65,V3-000015,Original,0.5,5,5,2.5,12.0,29.2285
66,V3-000805,Original,0.5,14,15,1.5,12.0,29.2136
67,V3-000778,Original,0.5,14,10,1.5,8.0,29.1161
68,V3-000679,Original,0.5,12,20,1.5,10.0,29.0999
69,V3-000704,Original,0.5,12,30,1.5,10.0,29.0999
70,V3-000729,Original,0.5,12,40,1.5,10.0,29.0999
71,V3-000030,Original,0.5,5,10,1.5,12.0,29.0579
72,V3-000002,Original,0.5,5,5,1.5,6.0,29.0176
73,V3-000054,Original,0.5,5,15,1.5,10.0,29.0104
74,V3-000803,Original,0.5,14,15,1.5,8.0,29.0009
75,V3-000655,Original,0.5,12,15,1.5,12.0,28.9972
76,V3-000828,Original,0.5,14,20,1.5,8.0,28.9952
77,V3-000853,Original,0.5,14,30,1.5,8.0,28.9952
78,V3-000878,Original,0.5,14,40,1.5,8.0,28.9952
79,V3-000178,Original,0.5,7,10,1.5,8.0,28.9738
80,V3-000330,Original,0.5,8,10,1.5,12.0,28.9596
81,V3-000055,Original,0.5,5,15,1.5,12.0,28.939
82,V3-000355,Original,0.5,8,15,1.5,12.0,28.9139
83,V3-000080,Original,0.5,5,20,1.5,12.0,28.9113
84,V3-000105,Original,0.5,5,30,1.5,12.0,28.9113
85,V3-000130,Original,0.5,5,40,1.5,12.0,28.9113
86,V3-000329,Original,0.5,8,10,1.5,10.0,28.9073
87,V3-000203,Original,0.5,7,15,1.5,8.0,28.902
88,V3-000029,Original,0.5,5,10,1.5,10.0,28.8815
89,V3-000752,Original,0.5,14,5,1.5,6.0,28.8607
90,V3-000460,Original,0.5,10,5,2.0,12.0,28.8528
91,V3-000830,Original,0.5,14,20,1.5,12.0,28.8357
92,V3-000855,Original,0.5,14,30,1.5,12.0,28.8357
93,V3-000880,Original,0.5,14,40,1.5,12.0,28.8357
94,V3-000152,Original,0.5,7,5,1.5,6.0,28.7932
95,V3-000680,Original,0.5,12,20,1.5,12.0,28.7837
96,V3-000705,Original,0.5,12,30,1.5,12.0,28.7837
97,V3-000730,Original,0.5,12,40,1.5,12.0,28.7837
98,V3-000228,Original,0.5,7,20,1.5,8.0,28.6707
99,V3-000253,Original,0.5,7,30,1.5,8.0,28.6707
100,V3-000278,Original,0.5,7,40,1.5,8.0,28.6707
