configuration,fold,n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,final_value,total_return,maximum_drawdown,trades,win_rate,average_trade_return,profit_factor,exposure
lgbm_a,1,200,3,0.03,7,30,10254.139728234171,0.025413972823417064,-0.016524458154787314,15,0.6,0.016867455399584973,2.5476575628584057,0.8802588996763754
lgbm_a,2,200,3,0.03,7,30,10086.474561290115,0.008647456129011521,-0.016752403589247122,12,0.6666666666666666,0.007255197943244977,1.5123854900941505,0.7605177993527508
lgbm_a,3,200,3,0.03,7,30,9867.876485608205,-0.013212351439179426,-0.02334353458705396,14,0.35714285714285715,-0.0094367013987612,0.5457152242729072,0.8802588996763754
lgbm_a,4,200,3,0.03,7,30,10086.871076716654,0.008687107671665473,-0.011452512224456535,12,0.5,0.0072641995034169625,1.8072983082109628,0.7346278317152104
lgbm_a,5,200,3,0.03,7,30,10308.702357633323,0.030870235763332365,-0.006324360744535684,12,0.75,0.025410142849208176,11.319930465223093,0.7313915857605178
lgbm_a,6,200,3,0.03,7,30,10176.088999061147,0.017608899906114583,-0.015558184504833372,7,0.7142857142857143,0.025224640211816647,2.2307037269997454,0.4290322580645161
lgbm_b,1,300,4,0.03,15,30,10198.88902234339,0.019888902234338923,-0.016524458154787314,14,0.5714285714285714,0.014205238922694772,2.1279504654647226,0.8155339805825242
lgbm_b,2,300,4,0.03,15,30,10182.899683797927,0.018289968379792576,-0.011586366540081272,11,0.7272727272727273,0.016557827515705555,3.1153805896836917,0.6957928802588996
lgbm_b,3,300,4,0.03,15,30,9881.74061587156,-0.011825938412843962,-0.02198083260787498,14,0.42857142857142855,-0.008431144234036162,0.5939340880025576,0.883495145631068
lgbm_b,4,300,4,0.03,15,30,10123.769008747753,0.012376900874775387,-0.006668708574834481,13,0.6153846153846154,0.009498948841593817,2.7859478082503366,0.7993527508090615
lgbm_b,5,300,4,0.03,15,30,10340.037565822739,0.03400375658227395,-0.0072398910821038776,12,0.75,0.027950327696073213,9.649122265194334,0.7475728155339806
lgbm_b,6,300,4,0.03,15,30,10341.142365006053,0.0341142365006053,-0.015656579488890876,11,0.7272727272727273,0.030735367919588686,3.340165555288679,0.6258064516129033
lgbm_c,1,400,4,0.02,15,40,10257.697136477604,0.025769713647760373,-0.016524458154787425,14,0.5714285714285714,0.0183200257928534,2.6067185257964867,0.8155339805825242
lgbm_c,2,400,4,0.02,15,40,10039.709733721924,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,0.003381555502725493,1.217524016670655,0.7637540453074434
lgbm_c,3,400,4,0.02,15,40,9881.74061587156,-0.011825938412843962,-0.02198083260787498,14,0.42857142857142855,-0.008431144234036162,0.5939340880025576,0.883495145631068
lgbm_c,4,400,4,0.02,15,40,10115.014392827572,0.011501439282757264,-0.010659898205075069,13,0.5384615384615384,0.00883959411633018,2.554098222548103,0.8025889967637541
lgbm_c,5,400,4,0.02,15,40,10314.367275351502,0.031436727535150144,-0.006324360744535573,12,0.75,0.0258724072182946,11.507671879107763,0.7475728155339806
lgbm_c,6,400,4,0.02,15,40,10311.059217886574,0.031105921788657342,-0.015656579488891098,11,0.7272727272727273,0.028065604635948604,3.1368919815512672,0.6258064516129033
lgbm_d,1,300,5,0.02,31,40,10344.4295595662,0.03444295595662017,-0.009816428031113267,14,0.5714285714285714,0.024356319657905637,4.5656559628344455,0.8446601941747572
lgbm_d,2,300,5,0.02,31,40,10039.709733721924,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,0.003381555502725493,1.217524016670655,0.7637540453074434
lgbm_d,3,300,5,0.02,31,40,9877.766965701761,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,-0.008723495869497638,0.5651179050586436,0.8867313915857605
lgbm_d,4,300,5,0.02,31,40,10151.404105504427,0.015140410550442684,-0.00968629495896367,14,0.5714285714285714,0.010763533555200386,3.8421850657432275,0.8673139158576052
lgbm_d,5,300,5,0.02,31,40,10314.367275351502,0.031436727535150144,-0.006324360744535573,12,0.75,0.0258724072182946,11.507671879107763,0.7475728155339806
lgbm_d,6,300,5,0.02,31,40,10316.139046746192,0.03161390467461911,-0.015656579488890765,11,0.7272727272727273,0.028516460312854854,3.171219760813992,0.6258064516129033
