fold,model,test_start,test_end,training_rows,testing_rows,model_accuracy,model_roc_auc,final_value,total_return,maximum_drawdown,trades,win_rate,average_trade_return,profit_factor,exposure
1,random_forest,2019-01-25 05:00:00+00:00,2020-04-16 04:00:00+00:00,750,309,0.5663430420711975,0.6170880557977332,10281.895428577496,0.02818954285774966,-0.017986079324693538,15,0.6,0.018670416743673843,2.9220287828952283,0.8996763754045307
1,xgboost,2019-01-25 05:00:00+00:00,2020-04-16 04:00:00+00:00,750,309,0.517799352750809,0.5580209241499563,10260.810776333552,0.0260810776333551,-0.013614569828021006,13,0.6153846153846154,0.019861521826984804,7.374278216000816,0.8155339805825242
1,lightgbm,2019-01-25 05:00:00+00:00,2020-04-16 04:00:00+00:00,750,309,0.5307443365695793,0.5810374891020053,10198.88902234339,0.019888902234338923,-0.016524458154787314,14,0.5714285714285714,0.014205238922694772,2.1279504654647226,0.8155339805825242
1,catboost,2019-01-25 05:00:00+00:00,2020-04-16 04:00:00+00:00,750,309,0.5339805825242718,0.5768962510897995,10239.36432403357,0.023936432403356855,-0.01798607932469365,14,0.5714285714285714,0.017034797044560495,2.6367396954551916,0.8349514563106796
2,random_forest,2020-04-17 04:00:00+00:00,2021-07-08 04:00:00+00:00,1059,309,0.49838187702265374,0.5147958755972839,10010.7117617923,0.0010711761792299157,-0.016048819638711742,13,0.5384615384615384,0.0008761937551739045,1.0679303810423735,0.8155339805825242
2,xgboost,2020-04-17 04:00:00+00:00,2021-07-08 04:00:00+00:00,1059,309,0.6213592233009708,0.5749643725375135,10061.035237176697,0.0061035237176696455,-0.014768745869424671,12,0.6666666666666666,0.0051510966229133025,1.3313526058559877,0.7637540453074434
2,lightgbm,2020-04-17 04:00:00+00:00,2021-07-08 04:00:00+00:00,1059,309,0.5825242718446602,0.5412859418224496,10182.899683797927,0.018289968379792576,-0.011586366540081272,11,0.7272727272727273,0.016557827515705555,3.1153805896836917,0.6957928802588996
2,catboost,2020-04-17 04:00:00+00:00,2021-07-08 04:00:00+00:00,1059,309,0.5857605177993528,0.5542794869645402,10024.696774631138,0.002469677463113884,-0.015903482811620462,12,0.5,0.0021215267081218007,1.1429575489361592,0.7605177993527508
3,random_forest,2021-07-09 04:00:00+00:00,2022-09-28 04:00:00+00:00,1368,309,0.5048543689320388,0.6053638218293098,9881.160407524263,-0.011883959247573683,-0.02036628141433605,14,0.42857142857142855,-0.00847186159100779,0.5893435172671789,0.8478964401294499
3,xgboost,2021-07-09 04:00:00+00:00,2022-09-28 04:00:00+00:00,1368,309,0.47896440129449835,0.5717443046582795,9877.766965701761,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,-0.008723495869497638,0.5651179050586436,0.8867313915857605
3,lightgbm,2021-07-09 04:00:00+00:00,2022-09-28 04:00:00+00:00,1368,309,0.511326860841424,0.5468378102686161,9881.74061587156,-0.011825938412843962,-0.02198083260787498,14,0.42857142857142855,-0.008431144234036162,0.5939340880025576,0.883495145631068
3,catboost,2021-07-09 04:00:00+00:00,2022-09-28 04:00:00+00:00,1368,309,0.48220064724919093,0.5503655219313158,9877.766965701761,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,-0.008723495869497638,0.5651179050586436,0.8867313915857605
4,random_forest,2022-09-29 04:00:00+00:00,2023-12-20 05:00:00+00:00,1677,309,0.5080906148867314,0.5264355264355264,10096.862586237548,0.00968625862375494,-0.01187605896310362,13,0.5384615384615384,0.007452365915622432,2.389590279379369,0.8025889967637541
4,xgboost,2022-09-29 04:00:00+00:00,2023-12-20 05:00:00+00:00,1677,309,0.517799352750809,0.544954044954045,10087.379153792173,0.00873791537921731,-0.007926456072639865,13,0.6153846153846154,0.006731010765393993,1.895376426994502,0.8025889967637541
4,lightgbm,2022-09-29 04:00:00+00:00,2023-12-20 05:00:00+00:00,1677,309,0.511326860841424,0.513923013923014,10123.769008747753,0.012376900874775387,-0.006668708574834481,13,0.6153846153846154,0.009498948841593817,2.7859478082503366,0.7993527508090615
4,catboost,2022-09-29 04:00:00+00:00,2023-12-20 05:00:00+00:00,1677,309,0.49838187702265374,0.5166985166985167,10059.388172963929,0.005938817296392784,-0.010077433537784564,13,0.5384615384615384,0.00458453023896751,1.6893242609300572,0.7864077669902912
5,random_forest,2023-12-21 05:00:00+00:00,2025-03-18 04:00:00+00:00,1986,309,0.4045307443365696,0.5588332416070446,10188.602675080827,0.018860267508082673,-0.006324360744535573,9,0.6666666666666666,0.02083035025996477,7.344939721259066,0.5825242718446602
5,xgboost,2023-12-21 05:00:00+00:00,2025-03-18 04:00:00+00:00,1986,309,0.47572815533980584,0.5634012107870117,10303.647095009757,0.030364709500975806,-0.00983057840228685,13,0.6923076923076923,0.023073573928716673,10.675611002904434,0.8122977346278317
5,lightgbm,2023-12-21 05:00:00+00:00,2025-03-18 04:00:00+00:00,1986,309,0.42718446601941745,0.5758392955421023,10340.037565822739,0.03400375658227395,-0.0072398910821038776,12,0.75,0.027950327696073213,9.649122265194334,0.7475728155339806
5,catboost,2023-12-21 05:00:00+00:00,2025-03-18 04:00:00+00:00,1986,309,0.3948220064724919,0.5573472757292239,10235.439137947176,0.02354391379471754,-0.006674431235627942,9,0.5555555555555556,0.02594765812587567,10.232491608325487,0.5825242718446602
6,random_forest,2025-03-19 04:00:00+00:00,2026-06-11 04:00:00+00:00,2295,310,0.3161290322580645,0.4132894736842105,10065.220307618645,0.006522030761864528,-0.01599723164897593,7,0.5714285714285714,0.009643371831912604,1.2879078818512386,0.3741935483870968
6,xgboost,2025-03-19 04:00:00+00:00,2026-06-11 04:00:00+00:00,2295,310,0.43870967741935485,0.47076754385964914,10257.102187872637,0.02571021878726376,-0.015656579488890654,11,0.7272727272727273,0.023263683671575153,2.771277681132127,0.6258064516129033
6,lightgbm,2025-03-19 04:00:00+00:00,2026-06-11 04:00:00+00:00,2295,310,0.3774193548387097,0.44221491228070176,10341.142365006053,0.0341142365006053,-0.015656579488890876,11,0.7272727272727273,0.030735367919588686,3.340165555288679,0.6258064516129033
6,catboost,2025-03-19 04:00:00+00:00,2026-06-11 04:00:00+00:00,2295,310,0.3709677419354839,0.42039473684210527,10348.058541892131,0.034805854189213115,-0.015656579488890765,11,0.7272727272727273,0.03135732382941591,3.387520765120351,0.6258064516129033
